[2025-03-04 13:59:20 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-04 13:59:20 : INFO] - Full Cache Purge triggered by: WPO_Page_Cache::disable 
[2025-03-04 13:59:20 : INFO] - Full Cache Purge triggered by: WP_Optimize_Minify_Cache_Functions::purge_others 
[2025-03-04 14:17:51 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-04 14:18:17 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-04 14:19:09 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-04 14:22:46 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-04 14:23:30 : INFO] - Cache for URL: http://metalware/stock/ has been purged, triggered by action: save_post 
[2025-03-04 14:23:32 : INFO] - Cache for URL: http://metalware/stock/ has been purged, triggered by action: save_post 
[2025-03-04 14:23:39 : INFO] - Cache for URL: http://metalware/stock/ has been purged, triggered by action: save_post 
[2025-03-04 14:23:41 : INFO] - Cache for URL: http://metalware/stock/ has been purged, triggered by action: save_post 
[2025-03-04 15:14:10 : INFO] - Cache for URL: http://metalware/ has been purged, triggered by action: save_post 
[2025-03-04 15:14:28 : INFO] - Cache for URL: http://metalware/2025/03/03/%d0%bf%d1%80%d0%b8%d0%b2%d0%b5%d1%82-%d0%bc%d0%b8%d1%80/ has been purged, triggered by action: wp_trash_post 
[2025-03-04 15:14:28 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-04 15:14:28 : INFO] - Cache for URL: http://metalware/?p=1 has been purged, triggered by action: save_post 
[2025-03-04 15:14:28 : INFO] - Cache for all archives page associated with post_type: post and Title: "Привет, мир!" have been purged, triggered by action: save_post 
[2025-03-07 08:19:57 : INFO] - Cache for URL: http://metalware/?p=43 has been purged, triggered by action: save_post 
[2025-03-07 08:19:57 : INFO] - Cache for all archives page associated with post_type: post and Title: "Черновик" have been purged, triggered by action: save_post 
[2025-03-07 08:20:47 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-07 08:25:38 : INFO] - Cache for URL: http://metalware/stock/ has been purged, triggered by action: save_post 
[2025-03-07 08:25:40 : INFO] - Cache for URL: http://metalware/stock/ has been purged, triggered by action: save_post 
[2025-03-07 08:45:10 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-07 08:50:17 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-07 12:40:04 : INFO] - Cache for URL: http://metalware/?page_id=51 has been purged, triggered by action: save_post 
[2025-03-07 12:42:16 : INFO] - Cache for URL: http://metalware/payment-and-delivery/ has been purged, triggered by action: save_post 
[2025-03-07 12:42:18 : INFO] - Cache for URL: http://metalware/payment-and-delivery/ has been purged, triggered by action: save_post 
[2025-03-07 12:45:43 : INFO] - Cache for URL: http://metalware/payment-and-delivery/ has been purged, triggered by action: save_post 
[2025-03-09 22:54:08 : INFO] - Cache for URL: http://metalware/?page_id=53 has been purged, triggered by action: save_post 
[2025-03-09 22:54:35 : INFO] - Cache for URL: http://metalware/%d0%be-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8/ has been purged, triggered by action: save_post 
[2025-03-09 22:54:39 : INFO] - Cache for URL: http://metalware/%d0%be-%d0%ba%d0%be%d0%bc%d0%bf%d0%b0%d0%bd%d0%b8%d0%b8/ has been purged, triggered by action: save_post 
[2025-03-09 22:55:32 : INFO] - Cache for URL: http://metalware/about-company/ has been purged, triggered by action: save_post 
[2025-03-09 22:55:34 : INFO] - Cache for URL: http://metalware/about-company/ has been purged, triggered by action: save_post 
[2025-03-09 22:57:04 : INFO] - Cache for URL: http://metalware/ has been purged, triggered by action: save_post 
[2025-03-09 22:57:07 : INFO] - Cache for URL: http://metalware/ has been purged, triggered by action: save_post 
[2025-03-09 22:58:40 : INFO] - Cache for URL: http://metalware/about-company/ has been purged, triggered by action: save_post 
[2025-03-09 22:58:48 : INFO] - Cache for URL: http://metalware/about-company/ has been purged, triggered by action: save_post 
[2025-03-09 22:59:12 : INFO] - Cache for URL: http://metalware/about-company/ has been purged, triggered by action: save_post 
[2025-03-09 22:59:20 : INFO] - Cache for URL: http://metalware/about-company/ has been purged, triggered by action: save_post 
[2025-03-10 12:04:06 : INFO] - Cache for URL: http://metalware/about-company/ has been purged, triggered by action: save_post 
[2025-03-10 12:04:08 : INFO] - Cache for URL: http://metalware/about-company/ has been purged, triggered by action: save_post 
[2025-03-10 15:06:03 : INFO] - Cache for URL: http://metalware/?page_id=93 has been purged, triggered by action: save_post 
[2025-03-10 15:06:14 : INFO] - Cache for URL: http://metalware/%d0%ba%d0%be%d0%bd%d1%82%d0%b0%d0%ba%d1%82%d1%8b/ has been purged, triggered by action: save_post 
